q-num, recip_rank
1,0.5000
10,0.2000
100,1.0000
11,0.1429
12,1.0000
13,0.0833
14,0.3333
15,1.0000
16,0.5000
17,0.0625
18,1.0000
19,0.0000
2,1.0000
20,0.0000
21,1.0000
22,0.0031
23,0.0769
24,0.2000
25,1.0000
26,0.2500
27,1.0000
28,1.0000
29,1.0000
3,1.0000
30,1.0000
31,0.0014
32,1.0000
33,1.0000
34,0.5000
35,1.0000
36,0.0714
37,1.0000
38,1.0000
39,0.0286
4,1.0000
40,0.0208
41,1.0000
42,0.3333
43,0.0526
44,0.0000
45,0.0250
46,1.0000
47,1.0000
48,1.0000
49,1.0000
5,0.5000
50,0.0588
51,0.0053
52,0.0227
53,1.0000
54,0.2500
55,1.0000
56,1.0000
57,0.1667
58,1.0000
59,1.0000
6,0.5000
60,1.0000
61,1.0000
62,0.1667
63,0.0037
64,1.0000
65,0.5000
66,1.0000
67,0.2500
68,1.0000
69,0.0012
7,1.0000
70,1.0000
71,1.0000
72,1.0000
73,0.5000
74,0.5000
75,0.0222
76,0.5000
77,1.0000
78,1.0000
79,1.0000
8,0.0250
80,0.1000
81,0.3333
82,0.0625
83,1.0000
84,1.0000
85,0.5000
86,1.0000
87,0.5000
88,0.5000
89,1.0000
9,1.0000
90,0.5000
91,1.0000
92,1.0000
93,1.0000
94,1.0000
95,1.0000
96,0.0833
97,1.0000
98,0.5000
99,1.0000
