q-num, P_1, P_5, map
1,0.0000,0.6000,0.1104
10,0.0000,0.4000,0.2500
100,1.0000,0.4000,0.6667
11,0.0000,0.0000,0.0000
12,1.0000,0.2000,0.1111
13,0.0000,0.0000,0.0000
14,0.0000,0.0000,0.0000
15,1.0000,0.2000,0.3333
16,1.0000,0.6000,0.6042
17,0.0000,0.2000,0.1250
18,1.0000,0.4000,0.3333
19,0.0000,0.0000,0.0000
2,1.0000,0.2000,0.1111
20,0.0000,0.0000,0.0000
21,1.0000,0.4000,0.2222
22,0.0000,0.0000,0.0000
23,1.0000,0.8000,0.2923
24,0.0000,0.2000,0.1667
25,0.0000,0.6000,0.1359
26,0.0000,0.2000,0.1667
27,1.0000,0.8000,0.8000
28,1.0000,0.6000,0.4583
29,1.0000,0.6000,0.6042
3,1.0000,0.8000,0.2857
30,1.0000,0.4000,0.2500
31,0.0000,0.0000,0.0000
32,1.0000,0.8000,0.2105
33,0.0000,0.6000,0.4792
34,1.0000,0.8000,0.9500
35,1.0000,1.0000,0.2000
36,0.0000,0.0000,0.0000
37,1.0000,0.4000,0.5000
38,1.0000,0.8000,0.4750
39,1.0000,0.2000,0.5000
4,1.0000,0.8000,0.1810
40,0.0000,0.0000,0.0000
41,1.0000,0.8000,0.2667
42,1.0000,0.2000,0.0909
43,0.0000,0.0000,0.0000
44,0.0000,0.0000,0.0000
45,0.0000,0.2000,0.0185
46,1.0000,1.0000,0.4167
47,1.0000,0.4000,1.0000
48,1.0000,0.2000,0.2500
49,1.0000,0.4000,0.1852
5,0.0000,0.6000,0.2944
50,0.0000,0.0000,0.0000
51,0.0000,0.0000,0.0000
52,0.0000,0.0000,0.0000
53,1.0000,0.6000,0.2750
54,0.0000,0.0000,0.0000
55,1.0000,0.4000,0.3333
56,1.0000,0.2000,0.2000
57,0.0000,0.2000,0.0222
58,1.0000,0.4000,0.1667
59,1.0000,1.0000,0.3846
6,0.0000,0.2000,0.2500
60,1.0000,0.6000,0.2197
61,1.0000,0.8000,0.6333
62,0.0000,0.0000,0.0000
63,0.0000,0.0000,0.0000
64,1.0000,0.2000,0.3333
65,1.0000,0.2000,0.5000
66,1.0000,0.6000,0.7500
67,1.0000,0.2000,0.1667
68,0.0000,0.0000,0.0000
69,0.0000,0.0000,0.0000
7,0.0000,0.2000,0.0500
70,1.0000,0.4000,0.2500
71,1.0000,0.6000,0.3750
72,1.0000,0.6000,0.1579
73,1.0000,0.6000,0.2833
74,1.0000,0.8000,0.3800
75,0.0000,0.0000,0.0000
76,1.0000,0.4000,0.1667
77,1.0000,0.6000,0.1857
78,1.0000,0.2000,0.0769
79,1.0000,0.8000,0.6333
8,0.0000,0.0000,0.0000
80,1.0000,0.4000,0.1000
81,0.0000,0.2000,0.1000
82,0.0000,0.0000,0.0000
83,1.0000,0.6000,0.1050
84,1.0000,0.4000,0.2381
85,0.0000,0.4000,0.1667
86,1.0000,1.0000,0.6250
87,1.0000,0.4000,0.0794
88,1.0000,0.4000,0.1400
89,1.0000,1.0000,0.8333
9,1.0000,0.8000,0.2857
90,0.0000,0.4000,0.0909
91,1.0000,0.8000,0.1543
92,1.0000,0.2000,0.3333
93,1.0000,1.0000,0.5556
94,1.0000,0.8000,0.2222
95,1.0000,0.6000,1.0000
96,0.0000,0.0000,0.0000
97,1.0000,0.4000,0.6667
98,0.0000,0.2000,0.1000
99,1.0000,0.4000,1.0000
