q-num, P_1, P_5, map
1,0.0000,0.4000,0.0729
10,0.0000,0.4000,0.2500
100,1.0000,0.4000,0.6667
11,0.0000,0.0000,0.0000
12,1.0000,0.4000,0.1556
13,0.0000,0.0000,0.0000
14,0.0000,0.0000,0.0000
15,1.0000,0.4000,0.4667
16,1.0000,0.6000,0.7500
17,0.0000,0.2000,0.0833
18,1.0000,0.4000,0.4000
19,0.0000,0.0000,0.0000
2,1.0000,0.2000,0.1111
20,0.0000,0.0000,0.0000
21,1.0000,0.4000,0.1852
22,0.0000,0.0000,0.0000
23,1.0000,0.8000,0.2923
24,0.0000,0.2000,0.1000
25,0.0000,0.6000,0.1474
26,0.0000,0.2000,0.2500
27,1.0000,0.8000,0.8000
28,1.0000,0.4000,0.3333
29,1.0000,0.4000,0.4167
3,1.0000,0.8000,0.2857
30,1.0000,0.6000,0.3250
31,0.0000,0.0000,0.0000
32,1.0000,1.0000,0.2632
33,0.0000,0.6000,0.4792
34,0.0000,0.8000,0.6792
35,1.0000,1.0000,0.2000
36,0.0000,0.6000,0.1009
37,1.0000,0.4000,0.5000
38,1.0000,0.8000,0.5000
39,0.0000,0.2000,0.1667
4,1.0000,0.8000,0.1810
40,0.0000,0.0000,0.0000
41,1.0000,1.0000,0.3333
42,1.0000,0.2000,0.0909
43,0.0000,0.4000,0.1944
44,0.0000,0.0000,0.0000
45,1.0000,0.2000,0.0370
46,1.0000,1.0000,0.4167
47,1.0000,0.4000,1.0000
48,1.0000,0.2000,0.2500
49,1.0000,0.4000,0.2222
5,0.0000,0.6000,0.2944
50,0.0000,0.0000,0.0000
51,0.0000,0.0000,0.0000
52,0.0000,0.0000,0.0000
53,1.0000,0.6000,0.2750
54,0.0000,0.2000,0.0417
55,1.0000,0.8000,0.6333
56,1.0000,0.2000,0.2000
57,0.0000,0.2000,0.0333
58,1.0000,0.6000,0.2417
59,1.0000,1.0000,0.3846
6,0.0000,0.2000,0.2500
60,1.0000,0.6000,0.2197
61,1.0000,0.8000,0.5917
62,1.0000,0.4000,0.2222
63,0.0000,0.0000,0.0000
64,1.0000,0.2000,0.3333
65,1.0000,0.2000,0.5000
66,1.0000,0.6000,0.7500
67,1.0000,0.6000,0.4333
68,1.0000,0.2000,0.2500
69,0.0000,0.0000,0.0000
7,1.0000,0.6000,0.5667
70,1.0000,0.4000,0.2500
71,1.0000,0.6000,0.3438
72,1.0000,1.0000,0.2632
73,1.0000,0.6000,0.3250
74,1.0000,0.8000,0.4000
75,0.0000,0.0000,0.0000
76,1.0000,0.4000,0.1667
77,1.0000,0.6000,0.1857
78,0.0000,0.4000,0.0769
79,1.0000,0.8000,0.6333
8,0.0000,0.0000,0.0000
80,1.0000,0.6000,0.2143
81,0.0000,0.0000,0.0000
82,0.0000,0.2000,0.0833
83,1.0000,0.6000,0.1133
84,1.0000,0.4000,0.2381
85,0.0000,0.4000,0.1667
86,1.0000,1.0000,0.6250
87,1.0000,0.2000,0.0476
88,1.0000,0.4000,0.2000
89,1.0000,1.0000,0.8333
9,1.0000,0.8000,0.2857
90,0.0000,0.6000,0.1455
91,1.0000,0.8000,0.1652
92,1.0000,0.2000,0.3333
93,1.0000,1.0000,0.5556
94,1.0000,0.8000,0.2222
95,1.0000,0.6000,1.0000
96,0.0000,0.0000,0.0000
97,1.0000,0.4000,0.6667
98,1.0000,0.2000,0.2000
99,1.0000,0.4000,1.0000
