q-num, recip_rank
1,0.0000
10,1.0000
100,1.0000
11,0.0000
12,1.0000
13,0.3333
14,0.0000
15,1.0000
16,0.3333
17,0.0000
18,1.0000
19,0.5000
2,1.0000
20,0.1667
21,1.0000
22,0.0000
23,1.0000
24,0.0000
25,1.0000
26,1.0000
27,1.0000
28,1.0000
29,0.3333
3,1.0000
30,0.3333
31,0.5000
32,1.0000
33,0.5000
34,1.0000
35,1.0000
36,0.0000
37,0.5000
38,1.0000
39,1.0000
4,1.0000
40,0.0000
41,1.0000
42,1.0000
43,1.0000
44,0.0000
45,1.0000
46,1.0000
47,1.0000
48,1.0000
49,0.0000
5,0.0000
50,0.0000
51,0.0000
52,1.0000
53,0.5000
54,0.2500
55,1.0000
56,1.0000
57,0.3333
58,0.0000
59,1.0000
6,0.0000
60,0.2500
61,1.0000
62,0.1250
63,0.0000
64,1.0000
65,1.0000
66,1.0000
67,1.0000
68,1.0000
69,0.2000
7,1.0000
70,1.0000
71,1.0000
72,1.0000
73,0.0000
74,1.0000
75,0.0000
76,0.0000
77,0.5000
78,0.5000
79,1.0000
8,0.1667
80,1.0000
81,1.0000
82,0.0000
83,1.0000
84,1.0000
85,0.5000
86,1.0000
87,0.0000
88,0.3333
89,1.0000
9,1.0000
90,0.3333
91,1.0000
92,1.0000
93,0.5000
94,1.0000
95,1.0000
96,0.5000
97,1.0000
98,0.0000
99,1.0000
