q-num, recip_rank
1,0.5000
10,0.3333
100,1.0000
11,0.0256
12,1.0000
13,0.1429
14,0.2500
15,1.0000
16,1.0000
17,0.1250
18,1.0000
19,0.0000
2,1.0000
20,0.0435
21,1.0000
22,0.0154
23,1.0000
24,0.2000
25,0.5000
26,0.5000
27,1.0000
28,1.0000
29,1.0000
3,1.0000
30,1.0000
31,0.0015
32,1.0000
33,0.5000
34,0.5000
35,1.0000
36,0.5000
37,1.0000
38,1.0000
39,0.3333
4,1.0000
40,0.0270
41,1.0000
42,1.0000
43,0.0333
44,0.0000
45,1.0000
46,1.0000
47,1.0000
48,1.0000
49,1.0000
5,0.5000
50,0.0312
51,0.0049
52,0.5000
53,1.0000
54,0.1667
55,1.0000
56,1.0000
57,0.3333
58,1.0000
59,1.0000
6,0.5000
60,1.0000
61,1.0000
62,1.0000
63,0.0054
64,1.0000
65,1.0000
66,1.0000
67,1.0000
68,1.0000
69,0.0071
7,1.0000
70,1.0000
71,1.0000
72,1.0000
73,1.0000
74,1.0000
75,0.1667
76,1.0000
77,1.0000
78,1.0000
79,1.0000
8,0.0048
80,0.2500
81,1.0000
82,0.2500
83,1.0000
84,1.0000
85,0.5000
86,1.0000
87,1.0000
88,1.0000
89,1.0000
9,1.0000
90,0.5000
91,1.0000
92,1.0000
93,1.0000
94,1.0000
95,1.0000
96,0.0588
97,1.0000
98,1.0000
99,1.0000
